Region,Electorate_x,Electorate_y
East,4398796,9.459776140649975
East Midlands,3384299,7.278062209073931
London,5424768,11.66616749105016
North East,1934341,4.159873028819935
North West,5241568,11.272189004899161
Northern Ireland,1260955,2.711731124478901
Scotland,3987112,8.574434224205715
South East,6465404,13.904094324643133
South West,4138134,8.899212711844887
Wales,2270272,4.882305271348273
West Midlands,4116572,8.852842820368972
Yorkshire and The Humber,3877780,8.339311648616954
