Electorate,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots
1260955.0,790523.0,790149.0,440707.0,349442.0,614.0
1799.0,1424.0,1424.0,803.0,621.0,0.0
96425.5,72544.5,72511.5,33475.0,37573.5,46.5
72523.75,54875.5,54844.25,23535.25,28668.5,33.25
141379.75,104436.5,104332.0,48245.5,54137.5,74.0
