Area_Code,Area,Region_Code,Region,Electorate,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots,No_official_mark,Voting_for_both_answers,Writing_or_mark,Unmarked_or_void
E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,266047,199036,198915,78779,120136,121,0,36,3,82
E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,116302,79011,78982,23797,55185,29,1,4,1,23
E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,123611,88906,88862,29947,58915,44,0,11,3,30
E06000014,York,E12000003,Yorkshire and The Humber,155157,109681,109600,63617,45983,81,0,20,5,56
E07000163,Craven,E12000003,Yorkshire and The Humber,44320,35907,35891,16930,18961,16,0,6,0,10
E07000164,Hambleton,E12000003,Yorkshire and The Humber,70133,55016,54982,25480,29502,34,0,18,1,15
E07000165,Harrogate,E12000003,Yorkshire and The Humber,119987,94653,94585,48211,46374,68,2,25,3,38
E07000166,Richmondshire,E12000003,Yorkshire and The Humber,36794,27652,27636,11945,15691,16,0,6,0,10
E07000167,Ryedale,E12000003,Yorkshire and The Humber,41529,32069,32050,14340,17710,19,0,5,2,12
E07000168,Scarborough,E12000003,Yorkshire and The Humber,82900,60539,60511,22999,37512,28,0,6,0,22
E07000169,Selby,E12000003,Yorkshire and The Humber,65278,51636,51603,21071,30532,33,0,7,2,24
E08000016,Barnsley,E12000003,Yorkshire and The Humber,175809,122972,122909,38951,83958,63,0,17,1,45
E08000017,Doncaster,E12000003,Yorkshire and The Humber,217432,151246,151182,46922,104260,64,0,19,0,45
E08000018,Rotherham,E12000003,Yorkshire and The Humber,197623,137470,137387,44115,93272,83,0,30,4,49
E08000019,Sheffield,E12000003,Yorkshire and The Humber,396406,266951,266753,130735,136018,198,0,76,6,116
E08000032,Bradford,E12000003,Yorkshire and The Humber,342817,228727,228488,104575,123913,239,0,121,5,113
E08000033,Calderdale,E12000003,Yorkshire and The Humber,149195,106004,105925,46950,58975,79,0,22,15,42
E08000034,Kirklees,E12000003,Yorkshire and The Humber,307081,217428,217240,98485,118755,188,0,86,7,95
E08000035,Leeds,E12000003,Yorkshire and The Humber,543033,387677,387337,194863,192474,340,39,116,8,177
E08000036,Wakefield,E12000003,Yorkshire and The Humber,246096,175155,175042,58877,116165,113,0,46,4,63
